mese,giorno*,Pioggiamm,Temp. min°C,Temp. med°C,Temp. max°C,Umidità med%,Vento medkm/h,Vento maxkm/h,Dir. V. max°N,Radiaz.KJ/m2,Press. medhPa,Stazione,Anno
6,30,0.0,20.5,25.1,31.6,72,,,,,,Ariis,2020
6,1,0.0,8.3,16.4,25.2,70,,,,21257,,Barcis,2020
6,2,,,,,,,,,,,Barcis,2020
6,3,4.2,10.3,16.1,24.2,86,,,,18167,,Barcis,2020
6,4,60.2,12.5,13.9,16.1,98,,,,6022,,Barcis,2020
6,5,14.6,12.4,14.8,21.8,92,,,,11464,,Barcis,2020
6,6,2.0,12.8,16.5,22.4,91,,,,17731,,Barcis,2020
6,7,18.4,13.7,15.0,19.1,98,,,,4053,,Barcis,2020
6,8,80.0,13.3,14.2,16.5,100,,,,5217,,Barcis,2020
6,9,35.2,11.8,15.1,21.0,93,,,,11215,,Barcis,2020
6,10,9.6,9.3,12.6,16.2,97,,,,7087,,Barcis,2020
6,11,18.4,9.2,12.1,17.6,96,,,,8665,,Barcis,2020
6,12,0.2,8.8,15.9,23.5,83,,,,25508,,Barcis,2020
6,13,0.0,12.0,18.0,25.0,84,,,,,,Barcis,2020
6,14,1.4,13.8,17.8,23.8,89,,,,17645,,Barcis,2020
6,15,9.2,14.8,16.4,19.3,97,,,,8611,,Barcis,2020
6,16,5.0,14.1,17.4,24.4,91,,,,15134,,Barcis,2020
6,17,2.0,12.9,16.8,23.9,92,,,,12229,,Barcis,2020
6,18,5.0,11.7,16.4,23.7,90,,,,17282,,Barcis,2020
6,19,2.4,12.0,16.2,23.2,88,,,,14664,,Barcis,2020
6,20,3.6,12.0,17.3,24.8,85,,,,21584,,Barcis,2020
6,21,0.0,11.0,17.2,24.6,86,,,,17856,,Barcis,2020
6,22,0.0,10.5,19.8,30.9,69,,,,25105,,Barcis,2020
6,23,0.0,10.6,20.4,29.6,69,,,,25699,,Barcis,2020
6,24,0.4,16.0,19.8,25.5,74,,,,17574,,Barcis,2020
6,25,6.4,14.0,16.5,19.9,91,,,,4850,,Barcis,2020
6,26,0.0,14.0,19.2,27.2,83,,,,18301,,Barcis,2020
6,27,0.2,15.6,21.3,28.3,83,,,,21521,,Barcis,2020
6,28,0.0,15.4,21.7,29.4,85,,,,18425,,Barcis,2020
6,29,14.2,15.5,20.0,26.7,90,,,,13954,,Barcis,2020
6,30,0.4,15.4,20.8,27.6,83,,,,16076,,Barcis,2020
6,1,0.0,11.4,19.8,28.0,61,5,24,174,,,Bicinicco,2020
6,2,0.0,12.1,20.0,28.4,66,6,33,161,,,Bicinicco,2020
6,3,11.2,12.6,20.0,26.7,72,6,27,166,,,Bicinicco,2020
6,4,45.6,15.1,17.3,22.3,92,9,36,168,,,Bicinicco,2020
6,5,74.8,15.3,18.6,23.6,89,8,36,158,,,Bicinicco,2020
6,6,0.4,16.2,20.2,26.5,84,3,23,244,,,Bicinicco,2020
6,7,12.4,15.8,19.0,24.6,86,7,31,199,,,Bicinicco,2020
6,8,87.0,15.3,16.9,19.5,97,6,22,116,,,Bicinicco,2020
6,9,0.8,15.1,19.1,23.8,82,5,19,104,,,Bicinicco,2020
6,10,15.2,13.6,16.4,20.4,93,4,22,129,,,Bicinicco,2020
6,11,2.0,12.8,17.5,23.5,82,5,24,109,,,Bicinicco,2020
6,12,0.2,12.0,18.9,24.8,80,5,24,150,,,Bicinicco,2020
6,13,0.0,14.9,21.0,26.9,81,5,23,154,,,Bicinicco,2020
6,14,1.0,17.4,20.2,24.4,82,5,22,171,,,Bicinicco,2020
6,15,4.4,17.3,18.9,21.0,95,2,12,298,,,Bicinicco,2020
6,16,0.2,17.1,21.4,27.2,78,4,17,68,,,Bicinicco,2020
6,17,12.6,15.2,20.6,27.4,83,5,30,334,,,Bicinicco,2020
6,18,0.4,14.4,19.7,26.1,86,8,34,167,,,Bicinicco,2020
6,19,22.0,14.6,18.6,25.9,89,6,51,319,,,Bicinicco,2020
6,20,1.2,15.3,20.4,27.0,78,5,19,222,,,Bicinicco,2020
6,21,0.2,14.6,19.9,25.6,86,3,11,219,,,Bicinicco,2020
6,22,0.0,14.8,23.6,32.7,66,4,21,16,,,Bicinicco,2020
6,23,0.0,15.7,24.5,31.5,59,5,18,215,,,Bicinicco,2020
6,24,0.0,17.9,23.0,28.6,65,4,17,39,,,Bicinicco,2020
6,25,0.0,17.7,20.8,25.0,73,8,24,10,,,Bicinicco,2020
6,26,0.6,17.5,22.8,29.1,73,5,17,159,,,Bicinicco,2020
6,27,0.0,16.6,23.8,30.3,76,4,17,136,,,Bicinicco,2020
6,28,0.0,18.6,25.3,31.9,74,4,18,221,,,Bicinicco,2020
6,29,6.0,19.2,23.3,29.6,82,6,27,123,,,Bicinicco,2020
6,30,0.0,20.3,25.3,32.3,69,5,18,32,,,Bicinicco,2020
6,1,,,,,69,,,,28939,1015.5,Boa Paloma,2020
6,2,,,,,73,,,,28922,1011.7,Boa Paloma,2020
6,3,,,,,71,,,,27504,1006.0,Boa Paloma,2020
6,4,,,,,80,,,,8980,1001.2,Boa Paloma,2020
6,5,,,,,82,,,,23916,998.0,Boa Paloma,2020
6,6,,,,,81,,,,29771,1005.3,Boa Paloma,2020
6,7,,,,,77,,,,19568,1005.5,Boa Paloma,2020
6,8,,,,,84,,,,8491,1006.8,Boa Paloma,2020
6,9,,,,,80,,,,16241,1007.7,Boa Paloma,2020
6,10,,,,,79,,,,12987,1008.5,Boa Paloma,2020
6,11,,,,,74,,,,27212,1008.9,Boa Paloma,2020
6,12,,,,,75,,,,29164,1010.5,Boa Paloma,2020
6,13,,,,,79,,,,,1009.1,Boa Paloma,2020
6,14,,,,,74,,,,26464,1008.4,Boa Paloma,2020
6,15,,,,,85,,,,7222,1010.9,Boa Paloma,2020
6,16,,,,,78,,,,20314,1009.4,Boa Paloma,2020
6,17,,,,,75,,,,26423,1007.3,Boa Paloma,2020
6,18,,,,,73,,,,29988,1008.9,Boa Paloma,2020
6,19,,,,,73,,,,29047,1011.8,Boa Paloma,2020
6,20,,,,,69,,,,25564,1013.3,Boa Paloma,2020
6,21,,,,,74,,,,12713,1012.1,Boa Paloma,2020
6,22,,,,,73,,,,30353,1013.0,Boa Paloma,2020
6,23,,,,,62,,,,30813,1014.8,Boa Paloma,2020
6,24,,,,,52,,,,21479,1016.5,Boa Paloma,2020
6,25,,,,,70,,,,16869,1016.2,Boa Paloma,2020
6,26,,,,,77,,,,24736,1014.5,Boa Paloma,2020
6,27,,,,,77,,,,29390,1013.0,Boa Paloma,2020
6,28,,,,,77,,,,29241,1011.6,Boa Paloma,2020
6,29,,,,,71,,,,19805,1007.6,Boa Paloma,2020
6,30,,,,,68,,,,27611,1008.6,Boa Paloma,2020
6,1,0.0,13.3,19.5,26.3,,,,,,,Bordano,2020
6,2,,,,,,,,,,,Bordano,2020
6,3,6.2,13.4,18.7,25.4,,,,,,,Bordano,2020
6,4,123.0,14.0,15.1,17.3,,,,,,,Bordano,2020
6,5,55.0,13.7,15.6,20.6,,,,,,,Bordano,2020
6,6,25.0,13.8,17.4,23.9,,,,,,,Bordano,2020
6,7,35.8,15.0,16.5,19.2,,,,,,,Bordano,2020
6,8,58.2,14.8,15.5,17.2,,,,,,,Bordano,2020
6,9,11.2,14.5,17.6,24.1,,,,,,,Bordano,2020
6,10,8.6,12.5,15.3,19.0,,,,,,,Bordano,2020
6,11,6.4,12.0,15.9,23.0,,,,,,,Bordano,2020
6,12,0.4,11.6,17.3,22.3,,,,,,,Bordano,2020
6,13,0.2,14.8,20.2,26.2,,,,,,,Bordano,2020
6,14,8.4,15.9,18.5,21.7,,,,,,,Bordano,2020
6,15,5.6,16.3,17.7,20.1,,,,,,,Bordano,2020
6,16,0.4,16.1,19.7,25.3,,,,,,,Bordano,2020
6,17,1.8,15.5,18.7,24.8,,,,,,,Bordano,2020
6,18,11.0,14.4,17.3,24.2,,,,,,,Bordano,2020
6,19,10.6,14.5,17.2,22.6,,,,,,,Bordano,2020
6,20,2.6,14.3,19.1,25.6,,,,,,,Bordano,2020
6,21,0.0,14.3,19.7,26.2,,,,,,,Bordano,2020
6,22,0.0,16.6,24.6,31.3,,,,,,,Bordano,2020
6,23,0.0,17.4,23.6,30.3,,,,,,,Bordano,2020
6,24,0.0,18.2,21.6,26.3,,,,,,,Bordano,2020
6,25,19.2,15.8,17.9,19.7,,,,,,,Bordano,2020
6,26,0.0,16.2,20.7,28.5,,,,,,,Bordano,2020
6,27,0.0,18.0,23.0,28.9,,,,,,,Bordano,2020
6,28,0.0,19.0,23.9,29.6,,,,,,,Bordano,2020
6,29,22.6,18.9,21.9,27.5,,,,,,,Bordano,2020
6,30,1.8,17.0,22.1,27.5,,,,,,,Bordano,2020
